"","group","level","α","β","λ"
"1","Prior Dose History","","2.1 (2.3 - 1.9)","-","-"
"2","Prior Dose History"," Az","4.1 (4.3 - 3.9)","-","-"
"3","Prior Dose History"," Az Az","6.0 (6.2 - 5.7)","-","-"
"4","Prior Dose History"," Az Az Az","5.4 (6.7 - 4.0)","-","-"
"5","Prior Dose History"," Az Az Pf","5.2 (6.5 - 3.9)","-","-"
"6","Prior Dose History"," Az Pf","5.4 (6.6 - 4.2)","-","-"
"7","Prior Dose History"," Md","6.1 (6.4 - 5.9)","-","-"
"8","Prior Dose History"," Md Md","5.5 (5.8 - 5.2)","-","-"
"9","Prior Dose History"," NA","5.3 (6.7 - 4.0)","-","-"
"10","Prior Dose History"," NA NA","5.5 (6.6 - 4.4)","-","-"
"11","Prior Dose History"," NA NA Md","5.3 (6.6 - 3.9)","-","-"
"12","Prior Dose History"," NA NA Pf","5.2 (6.5 - 3.9)","-","-"
"13","Prior Dose History"," Pf","5.8 (6.0 - 5.6)","-","-"
"14","Prior Dose History"," Pf Az","5.4 (6.6 - 4.1)","-","-"
"15","Prior Dose History"," Pf Pf","6.0 (6.2 - 5.8)","-","-"
"16","Prior Dose History"," Pf Pf Pf","5.0 (6.3 - 3.7)","-","-"
"17","Age","(10,20]","5.8 (6.0 - 5.6)","-","-"
"18","Age","(20,30]","5.6 (5.8 - 5.4)","-","-"
"19","Age","(30,40]","5.3 (5.5 - 5.1)","-","-"
"20","Age","(40,50]","5.1 (5.3 - 4.9)","-","-"
"21","Age","(50,60]","5.1 (5.3 - 4.9)","-","-"
"22","Age","(60,70]","4.9 (5.1 - 4.7)","-","-"
"23","Age","(70,80]","4.7 (4.9 - 4.5)","-","-"
"24","Age","(80,90]","5.1 (5.6 - 4.6)","-","-"
"25","Age","(90,100]","5.2 (5.7 - 4.7)","-","-"
"26","Vaccine Product","Az","-","13.4 (15.0 - 11.8)","4.0 (4.3 - 3.6)"
"27","Vaccine Product","Md","-","18.8 (20.4 - 17.3)","2.7 (2.9 - 2.6)"
"28","Vaccine Product","Pf","-","16.5 (17.3 - 15.7)","2.6 (2.7 - 2.5)"
"29","fixed","","5.2 (5.2 - 5.2)","16.3 (16.7 - 15.8)","3.1 (3.1 - 3.1)"
