"","group","level","α","β","λ"
"1","Prior Dose History","","-114.7 (105.1 - 124.3)","-","-"
"2","Prior Dose History"," Az","-73.1 (63.5 - 82.7)","-","-"
"3","Prior Dose History"," Az Az","17.8 (27.5 - 8.1)","-","-"
"4","Prior Dose History"," Az Az Az","7.4 (62.0 - -47.1)","-","-"
"5","Prior Dose History"," Az Az Md","14.2 (68.8 - -40.4)","-","-"
"6","Prior Dose History"," Az Az Pf","8.6 (25.4 - -8.1)","-","-"
"7","Prior Dose History"," Az Pf","33.1 (107.4 - -41.2)","-","-"
"8","Prior Dose History"," Md","11.9 (24.2 - -0.5)","-","-"
"9","Prior Dose History"," Md Md","20.3 (36.7 - 3.9)","-","-"
"10","Prior Dose History"," Md Pf","23.7 (85.8 - -38.4)","-","-"
"11","Prior Dose History"," NA","12.4 (86.8 - -62.0)","-","-"
"12","Prior Dose History"," Pf","-8.2 (-1.5 - 17.8)","-","-"
"13","Prior Dose History"," Pf Az","5.4 (59.9 - -49.1)","-","-"
"14","Prior Dose History"," Pf Pf","33.0 (42.8 - 23.2)","-","-"
"15","Prior Dose History"," Pf Pf Pf","8.2 (28.5 - -12.2)","-","-"
"16","Age","(0,10]","-1.5 (-22.6 - 25.6)","-0.6 (-38.6 - 39.9)","-"
"17","Age","(10,20]","36.1 (45.9 - 26.3)","24.2 (58.2 - -9.7)","-"
"18","Age","(20,30]","14.3 (24.0 - 4.5)","0.9 (35.0 - -33.2)","-"
"19","Age","(30,40]","4.3 (13.9 - -5.4)","9.1 (42.2 - -23.9)","-"
"20","Age","(40,50]","1.2 (10.9 - -8.5)","-1.3 (-32.4 - 34.9)","-"
"21","Age","(50,60]","-2.0 (-7.6 - 11.6)","-1.7 (-31.4 - 34.7)","-"
"22","Age","(60,70]","-8.0 (-1.6 - 17.6)","-9.9 (-21.9 - 41.7)","-"
"23","Age","(70,80]","-11.4 (1.8 - 21.1)","-7.2 (-25.9 - 40.3)","-"
"24","Age","(80,90]","-13.3 (3.5 - 23.1)","-9.3 (-26.4 - 44.9)","-"
"25","Age","(90,100]","-19.5 (8.8 - 30.2)","-4.3 (-33.8 - 42.4)","-"
"26","Number of Risk Groups","0","0.4 (2.7 - -1.9)","64.1 (114.6 - 13.5)","-"
"27","Number of Risk Groups","1","0.6 (3.0 - -1.8)","37.8 (89.4 - -13.9)","-"
"28","Number of Risk Groups","2","0.8 (3.3 - -1.8)","10.5 (65.2 - -44.1)","-"
"29","Number of Risk Groups","3","-0.9 (-1.8 - 3.7)","-7.0 (-52.2 - 66.2)","-"
"30","Number of Risk Groups","4","-0.7 (-2.2 - 3.5)","-66.2 (-0.1 - 132.5)","-"
"31","Number of Risk Groups","5+","-0.2 (-2.7 - 3.0)","-39.2 (-31.9 - 110.2)","-"
"32","Vaccine Product","Az","-","-155.5 (92.9 - 218.1)","0.1 (0.1 - 0.0)"
"33","Vaccine Product","Md","-","93.3 (174.8 - 11.8)","-0.0 (0.0 - 0.1)"
"34","Vaccine Product","Pf","-","59.1 (113.8 - 4.3)","-0.0 (-0.0 - 0.0)"
"35","fixed","","1005.6 (1005.6 - 1005.6)","5029.5 (5029.7 - 5029.4)","3.1 (3.1 - 3.1)"
